標題,發布時間
【山域事故】【17日臺中市和平區「武陵農場」附近山區，林務局人員1男被蜂螫休克，空勤總隊直升機及本署特搜共勤成功吊掛送醫】,111-09-18
【地震】【17日21:41臺東縣政府北方35.8公里(臺東縣關山鎮)發生芮氏規模6.4地震，尚無災情】,111-09-18
【住宅火災】【17日22:09茄萣區仁愛路三段某住宅火災，已撲滅，救出2人(1重傷、1輕傷)送醫】,111-09-18
​【緊急救護】【18日10:31宜蘭縣蘇澳鎮「烏岩角」1女墜落礁岩無生命徵象，空勤總隊直升機及本署特搜共勤成功吊掛送醫】,111-09-19
【住宅火災】【18日16:01臺中市北區榮華街20巷某住宅火災，已撲滅，無傷亡】,111-09-19
【地震】【9月20日08:54臺東縣政府北北東方31.6公里(臺東縣東河鄉)發生芮氏規模3.8地震，目前無相關災情，持續聯繫掌握與續報】,111-09-20
【地震】【9月20日09:23臺東縣政府北北東方65.4公里(臺東縣長濱鄉)發生芮氏規模4.3地震，目前無相關災情，持續聯繫掌握與續報】,111-09-20
【地震】【9月20日14:39花蓮縣政府南南西方58.7公里(花蓮縣瑞穗鄉)發生芮氏規模3.9地震，目前無相關災情，持續聯繫掌握與續報】,111-09-20
【怪手火災】【20日13:58高雄市小港區永光街怪手火災，已撲滅，1外籍移工焦屍】結報,111-09-20
【工廠火災】【20日14:38台中市清水區三美路「台灣勰達股份有限公司」工廠火災，已撲滅，無傷亡】,111-09-20
【廢棄工廠火災】【20日20:03新北市林口區寶斗厝坑無市招廢棄工廠火災，已撲滅，無傷亡】,111-09-20
【消防快訊-機車縱火】,111-09-20
【地震】【21日01:30臺東縣政府北方42.5公里(臺東縣海端鄉)發生芮氏規模4.0地震，無災情】,111-09-21
【地震】【21日02:42臺東縣政府北北西方17.1公里(臺東縣卑南鄉)發生芮氏規模4.3地震，無災情】,111-09-21
【旅館火災】【21日03:32新北市板橋區明德街「Single Inn 單人房」旅館火災，已撲滅，3人送醫】結報,111-09-21
【住宅火災】【21日04:08臺中市南屯區中和巷住宅火災，已撲滅，無傷亡】結報,111-09-21
【地震】【9月22日09:04花蓮縣政府南南西方89.0公里(花蓮縣卓溪鄉)發生芮氏規模4.3地震，目前尚無災情，持續聯繫掌握與續報】,111-09-23
【地震】【9月22日22:15臺東縣政府北北東方25.4公里(臺東縣東河鄉)發生芮氏規模4.0地震，無災情】,111-09-23
【地震】【9月23日02:54臺東縣政府北北東方17.3公里(臺東縣東河鄉)發生芮氏規模4.5地震，目前尚無災情，持續聯繫掌握與續報】,111-09-23
【地震】【9月23日9:57臺東縣政府北北東方 17.7 公里(臺東縣東河鄉)發生芮氏規模3.9地震，目前無相關災情，持續聯繫掌握與續報】,111-09-24
【地震】【9月23日10:14花蓮縣政府南南西方64.7公里(花蓮縣瑞穗鄉)發生芮氏規模3.6地震，目前尚無災情，持續聯繫掌握與續報】,111-09-24
【工廠火災】【23日新北市新莊區工廠火災，已撲滅，無傷亡】,111-09-24
【地震】【9月23日23:59宜蘭縣政府東北東方14.5公里(宜蘭縣近海)發生芮氏規模4.0地震，目前尚無災情，持續聯繫掌握與續報】,111-09-24
【學校火災】【24日05:24臺中市沙鹿區「沙鹿高工」火災，已撲滅，無傷亡】,111-09-24
【24日05:24新北市蘆洲區三民路連棟工廠及倉庫火災，火勢撲滅，無傷亡】,111-09-24
【地震】【24日10:23高雄市政府東北方73.5公里(高雄市桃園區)發生芮氏規模3.8地震，目前尚無災情，持續聯繫掌握與續報】,111-09-25
【工廠火災】【24日11:16臺中市神岡區神岡路1廢棄工廠火災，已撲滅，無傷亡】,111-09-25
【地震】【24日15:32花蓮縣政府南南西方88.9公里(花蓮縣卓溪鄉)發生芮氏規模4.2地震，目前尚無災情，持續聯繫掌握與續報】,111-09-25
​【山域事故】【28日宜蘭縣大同鄉新雲稜山屋1女腹痛昏迷，空勤直升機及本署特搜共勤成功吊掛送醫】,111-09-29
​【廢棄工廠火災】【28日18:05雲林縣西螺鎮新興路某廢棄工廠火災，已撲滅，無傷亡】,111-09-29
​【地震】【9月28日19:19臺中市政府東北東方75.7公里(臺中市和平區)發生芮氏規模3.4地震，持續聯繫掌握與續報】,111-09-29
​【住宅火災】【28日19:45苗栗縣苗栗市文發路1住宅火災，已撲滅，無傷亡】,111-09-29
【住宅火災】【29日10:55臺東縣臺東市山西路二段住宅火災，火勢撲滅，無傷亡】,111-09-30
【住宅火災】【29日12:18臺北市中山區林森北路某住宅火災，已撲滅，無傷亡】,111-09-30
【住宅火災】【29日12:43臺北市文山區秀明路某住宅火災，已撲滅，無傷亡】,111-09-30
【地震】【9月30日2:33宜蘭縣政府南方 42.9 公里(宜蘭縣近海)發生芮氏規模3.7地震，持續聯繫掌握與續報】,111-09-30
【汽車火災】【30日國道1號南向188.6公里處1自小客車火災，已撲滅，車內1焦屍】,111-09-30
【地震】【9月30日4:21宜蘭縣政府南方 42.6 公里(宜蘭縣近海)發生芮氏規模3.8地震，持續聯繫掌握與續報】,111-09-30
【地震】【9月30日4:27宜蘭縣政府南方 42.4 公里(宜蘭縣近海)發生芮氏規模3.4地震，持續聯繫掌握與續報】,111-09-30
【遊艇火災】【1日17:13高雄港區「光榮碼頭」內1遊艇火災，已撲滅，無傷亡】,111-10-02
【住宅火災】【2日06:40嘉義縣布袋鎮貴舍里1住宅火災，已撲滅，1死】,111-10-02
【工廠火災】【2日04:08苗栗縣銅鑼鄉中興路「大揚科技股份有限公司-苗栗廠」火災，已撲滅，無傷亡】,111-10-02
【倉庫火災】【2日21:44新北市樹林區中正路倉庫火災，已撲滅，無傷亡】,111-10-03
【地震】【10月3日 06:30臺東縣政府北方 33.8 公里(臺東縣關山鎮)發生芮氏規模3.6地震，持續聯繫掌握與續報】,111-10-03
【地震】【10月3日04:25花蓮縣政府南南西方 58.2 公里(花蓮縣豐濱鄉)發生芮氏規模5.3地震，持續聯繫掌握與續報】,111-10-03
【地震】【10月3日10:12臺東縣政府南南西方37.8公里(臺灣東南部海域)發生芮氏規模3.6地震，持續聯繫掌握與續報】,111-10-04
【地震】【10月3日10:31臺東縣政府北方32.1公里(臺東縣池上鄉)發生芮氏規模3.4地震，持續聯繫掌握與續報】,111-10-04
【工廠火災】【3日10:21屏東縣屏東市歸仁路63巷1工廠火災，已撲滅，無傷亡,111-10-04
【住宅火災】【3日13:57嘉義縣大林鎮中林里某住宅火災，已撲滅，無傷亡】,111-10-04
【山域事故】【3日14:22臺東縣海端鄉嘉明湖避難山屋1女手部骨折，空勤直升機及本署特搜共勤成功吊掛送醫】,111-10-04
【雜草火災】【3日桃園市大園區雜草火災，已撲滅，1男死亡】,111-10-04
【地震】【10月3日22:01宜蘭縣政府南南東方34.6公里(宜蘭縣近海)發生芮氏規模3.1地震，持續聯繫掌握與續報】,111-10-04
【地震】【10月3日22:41花蓮縣政府南南西方64.3公里(花蓮縣卓溪鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-10-04
【地震】【10月4日10:31臺東縣政府北北東方19.7公里(臺東縣東河鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-10-04
【工廠火災】【4日05:21臺南市仁德區中正西路1011巷某工廠火災，已撲滅，無傷亡】,111-10-04
【船舶火災】【6日03:26澎湖縣馬公市第三漁港1漁船火災，已撲滅，無傷亡】,111-10-06
​【山域事故】【6日臺中市和平區南湖山屋1女滑倒扭傷，空勤直升機及本署特搜共勤成功吊掛送醫】,111-10-08
【地震】【10月7日13:13花蓮縣政府南南西方64.1公里(花蓮縣卓溪鄉)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-10-08
​【地震】【10月7日22:06花蓮縣政府南南西方68.4公里(花蓮縣卓溪鄉)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-10-08
​【倉庫火災】【7日21:26高雄市左營區舊城巷1倉庫火災，已撲滅，無傷亡】,111-10-08
【鐵皮屋火災】【9日15:56屏東縣滿州鄉海墘路某鐵皮屋火災，已撲滅，無傷亡】結報,111-10-10
【地震】【10日04:03花蓮縣政府南南西方89.4公里(花蓮縣卓溪鄉)發生芮氏規模4.3地震，持續聯繫掌握與續報】,111-10-10
【地震】【10日04:43宜蘭縣政府南方43.9公里(宜蘭縣近海)發生芮氏規模4.3地震，持續聯繫掌握與續報】,111-10-10
【山域事故】【9日臺東縣海端鄉「小關山」1男高山症，空勤直升機及本署特搜共勤成功吊掛後送】,111-10-11
【山域事故】【10日高雄市桃源區「拉庫音溪山屋」1男高山症，空勤直升機及本署特搜共勤成功搭載送醫】,111-10-11
【地震】【10日10:40宜蘭縣政府南方43.8公里(宜蘭縣近海)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-10-11
【地震】【10日11:37臺東縣政府東北方22.5公里(臺東縣近海)發生芮氏規模4.4地震，持續聯繫掌握與續報】,111-10-11
【地震】【10日12:44臺東縣政府北北東方24.0公里(臺東縣東河鄉)發生芮氏規模3.7地震，持續聯繫掌握與續報】,111-10-11
【地震】【10日14:08臺東縣政府東北方22.5公里(臺東縣近海)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-10-11
【消防快訊-陸上交通事故】,111-10-11
【地震】【10日20:17花蓮縣政府南南西方43.6公里(花蓮縣近海)發生芮氏規模5.3地震，持續聯繫掌握與續報】,111-10-11
【住宅火災】【10日20:23花蓮縣吉安鄉民治路1住宅火災，已撲滅，無傷亡】,111-10-11
【住宅火災】【10日22:45苗栗縣卓蘭鎮豐田里1住宅火災，已撲滅，無傷亡】,111-10-11
【消防快訊-瓦斯外洩】,111-10-11
【地震】【11日03:24花蓮縣政府東方59.3公里(臺灣東部海域)發生芮氏規模5.9地震，持續聯繫掌握與續報】,111-10-11
【地震】【11日16:11臺東縣政府西北西方10.1公里發生芮氏規模3.6地震，持續聯繫掌握與續報】,111-10-11
【工廠火災】【11日06:38臺南市新市區某鐵皮屋火災，已撲滅，無傷亡】結報,111-10-11
【雜草火災】【11日11:43金門縣金寧鄉榜林村下后垵雜草火災，火勢撲滅，無傷亡】,111-10-11
【住宅火災】【11日10:12新北市蘆洲區民族路某住宅火災，已撲滅，1女受傷送醫】,111-10-11
​【山域事故】【10日08:51臺東縣海端鄉嘉明湖1男腳踝扭傷案，空勤直升機及本署特搜共勤成功吊掛送醫】,111-10-11
【山域事故】【11日11:28花蓮縣卓溪鄉新康山1女腳踝扭傷案，空勤直升機及本署特搜共勤成功吊掛送醫】,111-10-11
【地震】【11日16:11臺東縣政府西北西方10.1公里發生芮氏規模3.6地震，持續聯繫掌握與續報】,111-10-12
【住宅火災】【11日15:55臺中市清水區神清路某住宅火災，已撲滅，1男死亡】,111-10-12
【鐵皮屋火災】【11日20:37桃園市中壢區興和里某連棟鐵皮屋火災，已撲滅，無傷亡】,111-10-12
【鐵皮車庫火災】【11日22:25桃園市八德區忠勇街某連棟鐵皮車庫火災，已撲滅，無傷亡】,111-10-12
​【瓦斯氣爆】【12日06:08新竹市北區東大路三段便當店瓦斯氣爆火災，已撲滅，1輕傷送醫】,111-10-13
​【工廠火災】【12日臺中市霧峰區六股路「睿云食品有限公司」工廠火災，已撲滅，無傷亡】,111-10-13
​【倉庫火災】【12日新竹縣竹北市西濱路二段「瑞高物流有限公司」倉庫火災，已撲滅，無傷亡】,111-10-13
​【學校火災】【12日新竹市東區「陽明交通大學光復校區」工程六館頂樓火災，已撲滅，無傷亡】,111-10-13
​【汽車火災】【13日臺中市神岡區三民南路1自小客車火災，已撲滅，車內1焦屍】,111-10-13
​【工廠火災】【12日高雄市鼓山區工廠火災，已撲滅，無傷亡】,111-10-13
​【住宅火災】【13日桃園市龜山區復興一路1住宅火災，已撲滅，6人輕重傷、1人無生命徵象送醫】,111-10-13
【冰果室火災】【14日22:00花蓮縣新城鄉博愛路「佳興冰果室」火災，已撲滅，1男輕傷、意識清楚送醫】,111-10-15
【工廠火災】【臺中市大里區中興路二段日新巷某住宅火災，已撲滅，無傷亡】,111-10-15
【住宅火災】【臺北市士林區大南路某住宅火災，已撲滅，1男無生命徵象送醫】,111-10-15
工廠火災】【15日新北市蘆洲區仁愛街212巷「衍明交通工程」工廠火災，已撲滅，無傷亡】,111-10-15
​【地震】【17日01:24臺東縣政府北北東方67.0公里發生芮氏規模4.0地震，持續聯繫掌握與續報】,111-10-17
​【住宅火災】【17日新北市新莊區中正路1住宅火災，已撲滅，救出3人(其中1人無生命徵象)送醫】,111-10-17
​【山域事故】【16日20:46南投縣仁愛鄉萬大北溪溫泉2人因溪水暴漲無法過溪，空勤直升機及本署特搜共勤成功吊掛救援】,111-10-17
【地震】【17日16:24高雄市政府東北方 83.0 公里發生芮氏規模3.6地震，持續聯繫掌握與續報】,111-10-17
【地震】【17日16:41高雄市政府東北方84.3公里發生芮氏規模3.8地震，持續聯繫掌握與續報】,111-10-17
【工廠火災】【18日02:46桃園市中壢區環保路「誼鼎科技股份有限公司」工廠火災，已撲滅，無傷亡】,111-10-18
【地震】【19日20:53高雄市政府東北方84.7公里發生芮氏規模3.8地震，持續聯繫掌握與續報】,111-10-20
【消防快訊-19日13:32高雄市路竹區中山路瓦斯外洩，已止漏，無傷亡】,111-10-20
【倉庫火災】【20日15:28新竹市東區金城一路某1層連棟鐵皮倉庫火災，已撲滅，無傷亡】,111-10-21
【工廠火災】【20日屏東縣萬丹鄉大昌路「想博國際股份有限公司」工廠火災，已撲滅，無傷亡】,111-10-21
【山域事故】【19日16:46屏東縣泰武鄉「北大武山」3.2公里處1男右腳踝扭傷無法行走，空勤直升機及本署特搜共勤成功吊掛救援】,111-10-21
【工寮火災】【21日南投縣埔里鎮鯉魚路某工寮火災，已撲滅，無傷亡】,111-10-22
【消防快訊-15:44新北市三峽區大同路某集合住宅氣爆，目前4人受傷】,111-10-24
【一氧化碳中毒】【23日臺中市大甲區某住宅6人一氧化碳中毒，均意識清楚送醫】,111-10-24
【住宅火災】【24日01:23屏東縣屏東市徐州路某住宅火災，已撲滅，無傷亡】結報,111-10-24
​【消防快訊-汽車火災】,111-10-24
​【山域事故】【24日07:21高雄市桃源區「卑南主山」北峰步道上1男摔傷手骨折、大腿腫脹無法行走，空勤直升機及本署特搜共勤成功吊掛救援】,111-10-26
​【地震】【25日09:51花蓮縣政府西南西方48.4公里發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-10-26
【地震】【25日13:47新北市政府東北方35.1公里發生芮氏規模3.2地震，持續聯繫掌握與續報】,111-10-26
​【倉庫火災】【25日20:01金門縣金城鎮賢庵里1倉庫火災，已撲滅，無傷亡】,111-10-26
​【工廠火災】【25日20:39新北市板橋區大觀路1段38巷1洗衣工廠火災，已撲滅，無傷亡】,111-10-26
​【住宅火災】【26日01:26屏東縣滿州鄉山頂路1住宅火災，已撲滅，無傷亡】,111-10-26
​【住宅火災】【26日02:34雲林縣四湖鄉新市街1住宅火災，已撲滅，救出2人，其中1男無生命徵象送醫】,111-10-26
【學校火災】【26日12:26桃園市桃園區「國立臺北科技大學附屬桃園農工高級中等學校」歷史宿舍火災，火勢撲滅，無傷亡】,111-10-26
【住宅火災】【26日12:23桃園市大溪區「薑母島」住宅火災，火勢撲滅，無傷亡,111-10-26
【地震】【10月28日23:30宜蘭縣政府東南東方30.4公里(臺灣東部海域)發生芮氏規模5.1地震，持續聯繫掌握與續報】,111-10-29
【地震】【10月31日04:27宜蘭縣政府南方37.4公里(宜蘭縣近海)發生芮氏規模3.3地震，持續聯繫掌握與續報】,111-10-31
【地震】【11月1日10:02花蓮縣政府南南西方88.6公里(花蓮縣卓溪鄉)發生芮氏規模4.1地震，持續聯繫掌握與續報】,111-11-02
【地震】【1日13:43臺東縣政府北北東方71.5公里發生芮氏規模4.4地震，持續聯繫掌握與續報】,111-11-02
【地震】【11月1日16:30宜蘭縣政府東方78.4 公里(臺灣東部海域)發生芮氏規模5.7地震，持續聯繫掌握與續報】,111-11-02
【廢棄空屋火災】【1日嘉義縣水上鄉市政街廢棄空屋火災，已撲滅，無傷亡】,111-11-02
【果菜市場火災】【2日06:40臺南市安南區「「安南果菜市場」廁所火災，已撲滅，無傷亡】,111-11-02
​【山域事故】【10月29日07:42高雄市桃源區塔芬谷山屋1男高山症請求救援，11月3日空勤直升機及本署特搜共勤成功落地搭載救援】,111-11-03
​【地震】【11月3日09:29臺東縣政府北北東方18.9公里(臺東縣東河鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-11-03
​【山域事故】【10月29日07:54南投縣仁愛鄉「三叉營地」1男大體，11月3日空勤直升機及本署特搜共勤成功吊掛後送】,111-11-03
​【地震】【11月3日13:43臺東縣政府北北東方17.4公里(臺東縣東河鄉)發生芮氏規模3.7地震，持續聯繫掌握與續報】,111-11-03
【住宅火災】【3日14:39高雄市楠梓區德民路1住宅火災，已撲滅，救出2人送醫】,111-11-03
​【車站火災】【4日04:13臺北市中正區「台灣高鐵臺北站」火災，已撲滅，無傷亡】,111-11-04
【地震】【4日15:29花蓮縣政府西南西方 48.7 公里 (花蓮縣萬榮鄉)發生芮氏規模4.1地震，持續聯繫掌握與續報】,111-11-04
【山域事故】【11月4日15:42花蓮縣萬榮鄉萬里池營地1男右食指割傷深度見骨，5日空勤直升機及本署特搜共勤成功吊掛後送】,111-11-06
【資源回收廠火災】【5日10:59新北市樹林區育德街樹林清潔隊資源回收廠火災，已撲滅，無傷亡】,111-11-06
【地震】【5日13:27花蓮縣政府南南西方 28.5公里 (花蓮縣豐濱鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-11-06
【地震】【5日22:40宜蘭縣政府南方 40.7公里 (宜蘭縣近海)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-11-06
【地震】【11月5日22:42嘉義縣政府東方33.2公里(嘉義縣番路鄉)發生芮氏規模4.0地震，持續聯繫掌握與續報】,111-11-06
【汽車保養廠火災】【8日高雄市鳥松區球場路「襄理汽車保養廠」火災，已撲滅，無傷亡】,111-11-08
​【工廠火災】【8日彰化縣溪州鄉胡厝路「堅達橡膠行」火災，已撲滅，無傷亡】,111-11-09
​【工廠火災】【8日臺南市安南區安和路二段「晉靉實業有限公司」火災，已撲滅，無傷亡】,111-11-09
​【廢棄車輛回收廠火災】【8日新北市八里區長道坑「順昌環保公司」廢棄車輛回收廠火災，已撲滅，無傷亡】,111-11-09
​【地震】【11月9日04:40臺東縣政府東北方16.1公里(臺東縣近海)發生芮氏規模3.7地震，持續聯繫掌握與續報】,111-11-09
【山域事故】【9日花蓮縣秀林鄉「能高山南峰」1女摔傷右手骨折，10日空勤直升機及消防署特搜人員成功吊掛後送醫】,111-11-10
【回收場火災】【10日10:17屏東縣長治鄉廢棄物回收場火災，已撲滅，無傷亡】,111-11-11
【陸上交通事故】【10日南投縣國姓鄉國道六號東行18.7公里處1大客車(全航客運)及1自小車車禍，16人受傷送醫，目前單線通車】,111-11-11
【垃圾場火災】【10日18:21臺南市學甲區「學甲垃圾衛生掩埋場」火災，已撲滅，無傷亡】,111-11-11
【廢棄物火災】【11日苗栗縣苗栗市宜春路廢棄物火災，已撲滅，無傷亡】,111-11-12
​【山域事故】【12日南投縣信義鄉「馬利亞文路山」1男腹痛吐血無法行走，空勤直升機及消防署特搜人員成功吊掛後送醫】,111-11-12
【住宅火災】【12日桃園市龜山區萬壽路一段住宅火災，已撲滅，2人送醫】,111-11-12
​【工廠火災】【12日嘉義縣義竹鄉義竹村1工廠火災，已撲滅，無傷亡】,111-11-12
【地震】【11月13日09:47臺東縣政府南南西方38.7公里(臺東縣近海)發生芮氏規模5.3地震，持續聯繫掌握與續報】,111-11-13
【工寮火災】【13日11:15臺東縣延平鄉昇平路工寮火災，已撲滅，1男輕傷送醫】,111-11-13
【三合院火災】【13日12:26嘉義縣中埔鄉隆興村某三合院火災，已撲滅，無傷亡】,111-11-13
【地震】【11月13日13:19臺東縣政府北北東方21.1公里(臺東縣東河鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報】,111-11-13
【工廠火災】【13日12:03彰化縣芬園鄉義興路「建邦瑩企業社」工廠火災，已撲滅，1男輕傷送醫】,111-11-13
【山域事故】【13日06:51南投縣仁愛鄉「奇萊主北峰」1女高山症發作無法行走，空勤直升機及本署特搜人員成功吊掛救援】,111-11-13
【山域事故】【13日10:37新北市烏來區「哈盆古道」1男跌落邊坡，頭部外傷、右腳骨折，空勤直升機及本署特搜人員成功吊掛救援】,111-11-13
【地震】【11月13日22:09臺東縣政府南南西方35.5公里(臺東縣近海)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-11-13
【便當店火災】【13日22:54臺北市文山區景文街「興記燒臘」便當店火災，已撲滅，無傷亡】,111-11-14
【地震】【11月13日09:47臺東縣政府南南西方38.7公里(臺東縣近海)發生芮氏規模5.3地震，持續聯繫掌握與續報】,111-11-14
【工寮火災】【13日11:15臺東縣延平鄉昇平路工寮火災，火勢已控制，1男輕傷送醫】,111-11-14
【地震】【11月13日13:19臺東縣政府北北東方21.1公里(臺東縣東河鄉)發生芮氏規模3.5地震，持續聯繫掌握與續報,111-11-14
【工廠火災】【13日12:03彰化縣芬園鄉義興路「建邦瑩企業社」工廠火災，已撲滅，1男輕傷送醫】結報,111-11-14
【山域事故】【13日06:51南投縣仁愛鄉「奇萊主北峰」1女高山症發作無法行走，空勤直升機及本署特搜人員成功吊掛救援】,111-11-14
【山域事故】【13日10:37新北市烏來區「哈盆古道」1男跌落邊坡，頭部外傷、右腳骨折，空勤直升機及本署特搜人員成功吊掛救援】,111-11-14
【地震】【11月13日22:09臺東縣政府南南西方35.5公里(臺東縣近海)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-11-14
【便當店火災】【13日22:54臺北市文山區景文街「興記燒臘」便當店火災，已撲滅，無傷亡】結報,111-11-14
​【住宅火災】【14日06:56嘉義縣東石鄉東崙村某住宅火災，已撲滅，無傷亡】,111-11-14
​【山域事故】【14日05:09臺中市和平區南湖大山「南湖山屋」1男高山症肺水腫，空勤直升機及本署特搜人員成功搭載救援】,111-11-14
【山域事故】【14日08:12高雄市桃源區雲峰三角點1男跌倒膝蓋受傷，空勤直升機及本署特搜人員成功搭載救援】,111-11-15
【地震】【11月16日09:09臺東縣政府北方34.7公里(臺東縣海端鄉)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-11-16
【粉塵爆炸】【09:05彰化縣福興鄉福工路「利慶工業公司」疑似粉塵爆炸，到場時無火煙，3人燒燙傷送醫】,111-11-16
​【學校火災】【15:05新北市泰山區「泰山高中」校門口電視牆火災，已撲滅，無傷亡】,111-11-16
【地震】【18:40宜蘭縣政府南方36.4公里(宜蘭縣近海)發生芮氏規模3.2地震，持續聯繫掌握與續報】  ,111-11-16
【地震】【11月16日23:08臺東縣政府西南方62.8公里(臺東縣達仁鄉)發生芮氏規模4.5地震，持續聯繫掌握與續報】,111-11-16
【地震】【11月16日23:07臺東縣政府南南西方38.4公里(臺灣東南部海域)發生芮氏規模4.8地震，持續聯繫掌握與續報】,111-11-17
【山域事故】【19日南投縣信義鄉「八通關草原」1男摔落邊坡、多處擦挫傷、無法行走、意識清楚，空勤直升機及本署特搜共勤落地搭載傷者送醫】,111-11-19
【地震】【11月19日00:37花蓮縣政府西南方25.9公里(花蓮縣秀林鄉)發生芮氏規模3.7地震，持續聯繫掌握與續報】,111-11-20
【住宅火災】【19日桃園市蘆竹區1住宅火災，已撲滅，1人無生命徵象送醫】,111-11-20
​【地震】【11月20日09:49宜蘭縣政府東南東方22.4公里(臺灣東部海域)發生芮氏規模地震，持續聯繫掌握與續報】,111-11-21
【廢棄市場火災】【21日12:52新北市新店區建國路廢棄市場火災，已撲滅，無傷亡】,111-11-22
【工廠火災】【21日22:04苗栗縣通霄鎮中山路電動車工廠火災，已撲滅，無傷亡】,111-11-22
【工廠火災】【22日04:13桃園市中壢區聖德路一段551巷堆高機工廠火災，已撲滅，無傷亡】,111-11-22
【住宅火災】【22日08:55屏東縣屏東市潭墘里住宅火災，已撲滅，無傷亡】結報,111-11-23
【山域事故】【22日08:46花蓮縣秀林鄉「磐石中峰營地」1男跌落邊坡、腳踝嚴重扭傷、無法行走，空勤直升機成功搭載救援】,111-11-23
【地震】【11月23日05:55花蓮縣政府南南西方64公里(花蓮縣瑞穗鄉)發生芮氏規模3.5地震，目前尚無災情，持續聯繫掌握與續報】,111-11-23
